homeaway,line,hit,pitchrightleft,cat,last10,last5,log,oppteam,overunder,batterID,whip,OPSlast5,temperature,wind,pitcherID,pitcherfip,pitcherFBPercent,avgvsFB,avgvsOFF,avgvsMPHFB,avg_spin_ff,avg_spin_off
0,0.5,1,0,r,3,1,0.2631578947368421,Minnesota Twins,8.0,4424286,2.22,0.622,56.9,13.9,4917888,7.83662962962963,0.729,0.224,0.205,0.212,0.247,0.227
0,1.5,1,0,tb,9,3,0.42105263157894735,Minnesota Twins,8.0,4424286,2.22,0.622,56.9,13.9,4917888,7.83662962962963,0.729,0.224,0.205,0.212,0.247,0.227
0,0.5,0,0,r,6,4,0.4444444444444444,Los Angeles Dodgers,9.0,30830,0.95,0.749,74.9,2.2,33190,2.9637567567567564,0.51,0.237,0.271,0.227,0.312,0.136
0,0.5,0,0,tb,14,4,0.6666666666666666,Los Angeles Dodgers,9.0,30830,0.95,0.749,74.9,2.2,33190,2.9637567567567564,0.51,0.237,0.271,0.227,0.312,0.136
1,0.5,0,0,r,8,4,0.6470588235294118,Oakland Athletics,7.5,41996,1.6,0.85,45.9,11.4,32789,3.4197659574468084,0.536,0.341,0.259,0.293,0.367,0.417
1,1.5,0,0,tb,13,3,0.5294117647058824,Oakland Athletics,7.5,41996,1.6,0.85,45.9,11.4,32789,3.4197659574468084,0.536,0.341,0.259,0.293,0.367,0.417
0,0.5,0,0,r,4,1,0.3684210526315789,Cincinnati Reds,9.0,34923,1.47,0.863,49.9,8.1,33249,5.353596858638744,0.685,0.24,0.203,0.226,0.226,0.2
0,1.5,0,0,tb,9,2,0.42105263157894735,Cincinnati Reds,9.0,34923,1.47,0.863,49.9,8.1,33249,5.353596858638744,0.685,0.24,0.203,0.226,0.226,0.2
1,0.5,0,0,r,4,1,0.3888888888888889,New York Mets,9.0,33377,1.78,0.85,74.9,2.2,32157,5.1441727748691095,0.643,0.317,0.257,0.271,0.337,0.483
1,1.5,0,0,tb,7,1,0.3333333333333333,New York Mets,9.0,33377,1.78,0.85,74.9,2.2,32157,5.1441727748691095,0.643,0.317,0.257,0.271,0.337,0.483
0,0.5,0,0,r,3,2,0.29411764705882354,Chicago Cubs,8.5,33184,2.1,0.577,51,11.4,33173,7.778428571428571,0.496,0.243,0.223,0.226,0.295,0.314
0,1.5,0,0,tb,5,1,0.29411764705882354,Chicago Cubs,8.5,33184,2.1,0.577,51,11.4,33173,7.778428571428571,0.496,0.243,0.223,0.226,0.295,0.314
0,0.5,0,0,r,0,0,0.0,Los Angeles Dodgers,9.0,36068,0.95,0.0,74.9,2.2,33190,2.9637567567567564,0.51,0.172,0.2,0.0,0.182,0.25
0,0.5,1,0,tb,0,0,0.0,Los Angeles Dodgers,9.0,36068,0.95,0.0,74.9,2.2,33190,2.9637567567567564,0.51,0.172,0.2,0.0,0.182,0.25
1,0.5,1,0,r,7,5,0.5263157894736842,Chicago White Sox,7.5,33710,2.0,0.854,52.1,6.9,4422905,5.457,0.509,0.291,0.304,0.304,0.319,0.179
1,1.5,0,0,tb,14,5,0.631578947368421,Chicago White Sox,7.5,33710,2.0,0.854,52.1,6.9,4422905,5.457,0.509,0.291,0.304,0.304,0.319,0.179
1,0.5,0,0,r,1,1,0.2,Detroit Tigers,8.0,41205,1.23,0.656,56.9,13.9,41167,3.30178672985782,0.477,0.279,0.213,0.296,0.182,0.091
1,1.5,0,0,tb,2,1,0.2,Detroit Tigers,8.0,41205,1.23,0.656,56.9,13.9,41167,3.30178672985782,0.477,0.279,0.213,0.296,0.182,0.091
1,0.5,0,0,r,5,2,0.42857142857142855,Los Angeles Angels,9.0,34975,1.19,0.642,49.9,8.1,40973,4.826047619047619,0.586,0.257,0.227,0.247,0.209,0.156
1,0.5,0,0,tb,11,2,0.5,Los Angeles Angels,9.0,34975,1.19,0.642,49.9,8.1,40973,4.826047619047619,0.586,0.257,0.227,0.247,0.209,0.156
1,0.5,0,1,r,6,3,0.5294117647058824,Baltimore Orioles,8.5,4109109,1.47,0.857,54.9,11.4,39869,4.202260663507109,0.608,0.26,0.251,0.258,0.213,0.182
1,1.5,0,1,tb,13,4,0.4117647058823529,Baltimore Orioles,8.5,4109109,1.47,0.857,54.9,11.4,39869,4.202260663507109,0.608,0.26,0.251,0.258,0.213,0.182
0,0.5,0,0,r,4,1,0.3888888888888889,San Diego Padres,8.0,35002,1.54,0.715,70.1,10.3,34848,5.4578038585209,0.481,0.319,0.314,0.32,0.16,0.278
0,1.5,0,0,tb,8,3,0.3888888888888889,San Diego Padres,8.0,35002,1.54,0.715,70.1,10.3,34848,5.4578038585209,0.481,0.319,0.314,0.32,0.16,0.278
1,0.5,0,0,r,3,0,0.23529411764705882,Los Angeles Angels,9.0,39216,1.19,0.79,49.9,8.1,40973,4.826047619047619,0.586,0.25,0.189,0.25,0.333,0.381
1,0.5,0,0,tb,7,1,0.35294117647058826,Los Angeles Angels,9.0,39216,1.19,0.79,49.9,8.1,40973,4.826047619047619,0.586,0.25,0.189,0.25,0.333,0.381
1,0.5,1,0,r,4,3,0.4,Oakland Athletics,7.5,4088296,1.6,0.561,45.9,11.4,32789,3.4197659574468084,0.536,0.279,0.258,0.266,0.327,0.133
1,1.5,1,0,tb,6,2,0.26666666666666666,Oakland Athletics,7.5,4088296,1.6,0.561,45.9,11.4,32789,3.4197659574468084,0.536,0.279,0.258,0.266,0.327,0.133
1,0.5,1,0,r,3,2,0.3125,New York Mets,9.0,38309,1.78,0.864,74.9,2.2,32157,5.1441727748691095,0.643,0.244,0.234,0.242,0.265,0.273
1,1.5,1,0,tb,6,2,0.375,New York Mets,9.0,38309,1.78,0.864,74.9,2.2,32157,5.1441727748691095,0.643,0.244,0.234,0.242,0.265,0.273
1,0.5,0,0,r,2,0,0.23529411764705882,Detroit Tigers,8.0,34230,1.23,0.452,56.9,13.9,41167,3.30178672985782,0.477,0.273,0.265,0.206,0.306,0.303
1,0.5,1,0,tb,7,3,0.4117647058823529,Detroit Tigers,8.0,34230,1.23,0.452,56.9,13.9,41167,3.30178672985782,0.477,0.273,0.265,0.206,0.306,0.303
