homeaway,line,hit,rightleft,opprank,cat,last5,oppteam,pitcherID,righthitters,inningspitchedlast3,temperature,wind,fip,overunder
0,4.5,0,0,14,hits,2,Colorado Rockies,34848,5,4.066666666666666,90.9,4.7,5.042310344827586,11.5
0,15.5,1,0,3,outs,2,Baltimore Orioles,41277,4,4.466666666666667,81.9,8.1,4.761591549295774,9.5
0,2.5,1,0,3,era,5,Baltimore Orioles,41277,4,4.466666666666667,81.9,8.1,4.761591549295774,9.5
0,5.5,0,0,6,hits,3,Baltimore Orioles,41277,4,4.466666666666667,81.9,8.1,4.761591549295774,9.5
0,15.5,1,0,22,outs,1,Detroit Tigers,32815,3,3.4333333333333336,72.9,3.4,5.019805664830842,8.0
0,2.5,0,0,22,era,2,Detroit Tigers,32815,3,3.4333333333333336,72.9,3.4,5.019805664830842,8.0
0,5.5,0,0,26,hits,3,Detroit Tigers,32815,3,3.4333333333333336,72.9,3.4,5.019805664830842,8.0
0,17.5,0,0,28,outs,3,Tampa Bay Rays,32968,7,5.333333333333333,88.1,3.4,4.069432748538011,7.5
0,2.5,1,0,28,era,0,Tampa Bay Rays,32968,7,5.333333333333333,88.1,3.4,4.069432748538011,7.5
0,4.5,1,0,25,hits,2,Tampa Bay Rays,32968,7,5.333333333333333,88.1,3.4,4.069432748538011,7.5
0,18.5,0,0,18,outs,2,Texas Rangers,39671,5,5.666666666666667,99.1,4.7,3.843851063829787,7.5
0,2.5,0,0,18,era,1,Texas Rangers,39671,5,5.666666666666667,99.1,4.7,3.843851063829787,7.5
0,5.5,1,0,17,hits,3,Texas Rangers,39671,5,5.666666666666667,99.1,4.7,3.843851063829787,7.5
1,18.5,0,1,23,outs,3,Toronto Blue Jays,5134630,7,6.066666666666666,72.1,19.5,3.5762231404958675,7.0
1,4.5,0,1,21,hits,3,Toronto Blue Jays,5134630,7,6.066666666666666,72.1,19.5,3.5762231404958675,7.0
1,17.5,0,0,5,outs,3,Los Angeles Dodgers,32082,4,6.333333333333333,83,10.3,3.207378698224852,7.5
1,2.5,0,0,5,era,3,Los Angeles Dodgers,32082,4,6.333333333333333,83,10.3,3.207378698224852,7.5
1,5.5,1,0,8,hits,2,Los Angeles Dodgers,32082,4,6.333333333333333,83,10.3,3.207378698224852,7.5
1,2.5,1,0,19,era,4,Washington Nationals,31864,4,4.3999999999999995,81.1,9.2,6.104176470588235,9.5
1,5.5,0,0,17,hits,1,Washington Nationals,31864,4,4.3999999999999995,81.1,9.2,6.104176470588235,9.5
1,17.5,1,1,2,outs,5,New York Yankees,42409,8,6.366666666666667,72.9,3.4,2.660098646034816,8.0
1,2.5,0,1,2,era,1,New York Yankees,42409,8,6.366666666666667,72.9,3.4,2.660098646034816,8.0
1,4.5,0,1,12,hits,3,New York Yankees,42409,8,6.366666666666667,72.9,3.4,2.660098646034816,8.0
1,15.5,0,0,7,outs,0,Minnesota Twins,34973,7,4.6,99.1,4.7,3.818737704918033,7.5
1,2.5,1,0,7,era,0,Minnesota Twins,34973,7,4.6,99.1,4.7,3.818737704918033,7.5
1,4.5,1,0,11,hits,1,Minnesota Twins,34973,7,4.6,99.1,4.7,3.818737704918033,7.5
1,2.5,1,0,1,era,0,Arizona Diamondbacks,42170,3,0.0,87,10.3,12.684809523809523,8.0
1,4.5,0,0,4,hits,0,Arizona Diamondbacks,42170,3,0.0,87,10.3,12.684809523809523,8.0
0,1.5,1,0,29,era,4,Miami Marlins,4721302,6,6.033333333333334,87,10.3,3.5476666666666667,8.0
0,18.5,0,0,29,outs,3,Miami Marlins,4721302,6,6.033333333333334,87,10.3,3.5476666666666667,8.0
0,5.5,1,0,19,hits,3,Miami Marlins,4721302,6,6.033333333333334,87,10.3,3.5476666666666667,8.0
