homeaway,line,hit,position,opp,cat,last10,last5,log,oppposrank,oppteam,gamescore,minutes,shots,spread
0,15.5,1,Small Forward,6,points,0.5,0.6,0.02,1,Denver,252,-0.7,1.8,32
0,27.5,0,Small Forward,5,pra,0.5,0.6,0.54,1,Denver,252,-0.7,1.8,32
0,3.5,1,Small Forward,9,assists,0.7,0.8,0.5,2,Denver,252,-0.7,1.8,32
0,7.5,0,Small Forward,3,rebounds,0.6,0.8,0.57,7,Denver,252,-0.7,1.8,32
0,17.5,0,Center,23,points,0.6,0.8,0.0,9,LA Lakers,213,-0.3,2.2,19
0,2.5,1,Center,26,assists,0.7,0.6,0.54,28,LA Lakers,213,-0.3,2.2,19
0,29.5,0,Center,21,pra,0.6,0.4,0.4,14,LA Lakers,213,-0.3,2.2,19
0,9.5,1,Center,14,rebounds,0.5,0.4,0.57,16,LA Lakers,213,-0.3,2.2,19
1,2.5,1,Center,12,rebounds,0.7,0.6,0.41,24,Cleveland,213,5.5,0.6,19
0,1.5,1,Center,22,3-pt,0.4,0.6,0.36,19,Memphis,212,-1.6,1.8,20
0,10.5,1,Center,28,rebounds,0.1,0.2,0.58,23,Memphis,212,-1.6,1.8,20
0,28.5,1,Center,11,points,0.8,0.6,0.0,17,Memphis,212,-1.6,1.8,20
0,4.5,0,Center,13,assists,0.4,0.4,0.64,7,Memphis,212,-1.6,1.8,20
0,43.5,0,Center,15,pra,0.5,0.2,0.75,19,Memphis,212,-1.6,1.8,20
1,1.5,1,Shooting Guard,27,3-pt,0.7,0.6,0.54,23,Atlanta,252,2.2,0.8,32
1,10.5,1,Shooting Guard,28,points,0.4,0.6,0.01,29,Atlanta,252,2.2,0.8,32
1,2.5,0,Shooting Guard,17,rebounds,0.7,0.8,0.46,17,Atlanta,252,2.2,0.8,32
0,0.5,0,Guard,2,3-pt,0.7,0.8,0.58,4,Denver,252,4.0,2.4,32
1,1.5,0,Small Forward,10,3-pt,0.5,0.2,0.65,16,Cleveland,213,-0.7,-3.2,19
1,24.5,0,Small Forward,7,points,0.5,0.4,0.0,25,Cleveland,213,-0.7,-3.2,19
1,39.5,1,Small Forward,7,pra,0.7,0.6,0.51,26,Cleveland,213,-0.7,-3.2,19
1,7.5,1,Small Forward,6,assists,0.8,0.8,0.59,18,Cleveland,213,-0.7,-3.2,19
1,7.5,0,Small Forward,12,rebounds,0.5,0.4,0.43,26,Cleveland,213,-0.7,-3.2,19
0,1.5,1,Guard,15,3-pt,0.3,0.2,0.3,18,Brooklyn,216,12.3,3.6,10
0,11.5,1,Guard,16,points,0.1,0.2,0.0,17,Brooklyn,216,12.3,3.6,10
0,19.5,1,Guard,13,pra,0.1,0.2,0.14,20,Brooklyn,216,12.3,3.6,10
